ddi,exp214,exp405,microsoft_wdk_role,current_implementation,safe_to_register,hardware_dependency
Version,WDDM3_0,WDDM3_0,official interface 0xF003,WDDM3_0 and sizeof 1296,yes,none
DxgkDdiAddDevice,set,set,EXP214 and RosKmd base,concrete nonpaged context allocation,yes,none
DxgkDdiStartDevice,set,set,EXP214 and RosKmd base,POST ownership and one source child,yes,synthetic IRQ broker mapping only
DxgkDdiStopDevice,set,set,EXP214 and RosKmd base,lifecycle teardown,yes,synthetic IRQ broker unmap only
DxgkDdiRemoveDevice,set,set,EXP214 and RosKmd base,context free,yes,none
DxgkDdiDispatchIoRequest,set,set,EXP214 and RosKmd base,fail closed,yes,none
DxgkDdiInterruptRoutine,set,null,EXP214 and RosKmd base,missing in render-admission,only after status and ack implementation,m1n1 synthetic scanout IRQ only
DxgkDdiDpcRoutine,set,null,EXP214 and RosKmd base,missing in render-admission,yes but queue only after handled source,none at admission
DxgkDdiQueryChildRelations,set,set,EXP214 base and Full Graphics display,one internal child,yes,none
DxgkDdiQueryChildStatus,set,set,EXP214 base and Full Graphics display,always connected internal child,yes,none
DxgkDdiQueryDeviceDescriptor,set,set,EXP214 base and Full Graphics display,no descriptor required,yes,none
DxgkDdiSetPowerState,set,set,EXP214 and RosKmd base,hardware-inert success,yes,none
DxgkDdiNotifyAcpiEvent,set,set,EXP214 and RosKmd base,fail closed,yes,none
DxgkDdiResetDevice,set,set,EXP214 and RosKmd base,hardware-inert void boundary,yes,none
DxgkDdiUnload,set,set,EXP214 and RosKmd base,no global state,yes,none
DxgkDdiQueryInterface,set,set,EXP214 and RosKmd base,fail closed,yes,none
DxgkDdiControlEtwLogging,set,set,EXP214 and RosKmd base,no-op void boundary,yes,none
DxgkDdiQueryAdapterInfo,set,set,EXP214 and RosKmd base,Types 1 34 35 64-bit WDDM and display extension,yes,none
DxgkDdiCreateDevice,set,set,EXP214 and RosKmd render,fail closed,yes,next boundary if called
DxgkDdiCreateAllocation,set,set,EXP214 and RosKmd render,fail closed,yes,next boundary if called
DxgkDdiDestroyAllocation,set,set,EXP214 and RosKmd render,fail closed,yes,none before create succeeds
DxgkDdiDescribeAllocation,set,set,EXP214 and RosKmd render,fail closed,yes,next boundary if called
DxgkDdiGetStandardAllocationDriverData,set,set,EXP214 and RosKmd render,fail closed,yes,next boundary if called
DxgkDdiAcquireSwizzlingRange,null,null,conditional legacy feature,null,yes as null,none
DxgkDdiReleaseSwizzlingRange,null,null,conditional legacy feature,null,yes as null,none
DxgkDdiPatch,set,set,EXP214 and RosKmd render,fail closed,yes,next boundary if called
DxgkDdiSubmitCommand,set,set,EXP214 and RosKmd render,fail closed,yes,next boundary if called
DxgkDdiPreemptCommand,set,set,EXP214 and RosKmd render,fail closed,yes,next boundary if called
DxgkDdiBuildPagingBuffer,set,set,EXP214 and RosKmd render,fail closed,yes,next boundary if called
DxgkDdiSetPalette,null,null,Full Graphics display branch,missing in render-admission,yes with 32-bpp fail-closed result,none
DxgkDdiSetPointerPosition,null,set,Full Graphics display branch,hidden pointer only,yes,none
