mapping,owner,gpu_va,bytes,backing_source,lifetime,alignment,permissions,creation,destruction,current_path,target_path
initdata[0],Windows,0xffffffa000000000,0x4000,initdata[0] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
initdata[1],Windows,0xffffffa000008000,0x4000,initdata[1] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
initdata[2],Windows,0xffffffa000010000,0x8000,initdata[2] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
initdata[3],Windows,0xffffffa00001c000,0x14000,initdata[3] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
initdata[4],Windows,0xffffffa000034000,0x4000,initdata[4] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
initdata[5],Windows,0xffffffa00003c000,0x4000,initdata[5] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
initdata[6],Windows,0xffffffa000044000,0x4000,initdata[6] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
initdata[7],legacy-Windows / target-EL2-system,0xffffffa080000000,0x4000,initdata[7] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,broker-system
channel[0],Windows,0xffffffa00004c000,0x4000,channel[0] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[1],Windows,0xffffffa000054000,0x4000,channel[1] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[2],Windows,0xffffffa00005c000,0x4000,channel[2] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[3],Windows,0xffffffa000064000,0x4000,channel[3] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[4],Windows,0xffffffa00006c000,0x4000,channel[4] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[5],Windows,0xffffffa000074000,0x4000,channel[5] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[6],Windows,0xffffffa00007c000,0x4000,channel[6] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[7],Windows,0xffffffa000084000,0x4000,channel[7] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[8],Windows,0xffffffa00008c000,0x4000,channel[8] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[9],Windows,0xffffffa000094000,0x4000,channel[9] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[10],Windows,0xffffffa00009c000,0x4000,channel[10] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[11],Windows,0xffffffa0000a4000,0x4000,channel[11] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[12],Windows,0xffffffa0000ac000,0x4000,channel[12] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[13],Windows,0xffffffa0000b4000,0x4000,channel[13] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[14],Windows,0xffffffa0000bc000,0x4000,channel[14] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[15],Windows,0xffffffa0000c4000,0x4000,channel[15] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[16],Windows,0xffffffa0000cc000,0x4000,channel[16] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[17],Windows,0xffffffa0000d4000,0x4000,channel[17] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[18],Windows,0xffffffa0000dc000,0x4000,channel[18] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[19],Windows,0xffffffa0000e4000,0x4000,channel[19] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[20],Windows,0xffffffa0000ec000,0x4000,channel[20] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[21],Windows,0xffffffa0000f4000,0x4000,channel[21] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[22],Windows,0xffffffa0000fc000,0x4000,channel[22] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[23],Windows,0xffffffa000104000,0x4000,channel[23] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[24],Windows,0xffffffa00010c000,0x4000,channel[24] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[25],Windows,0xffffffa000114000,0x4000,channel[25] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
